id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2012,Secretary,
,vacant,vacant,2012,Baseball Operations Manager,
,Ted,Fauteux,2012,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Joe,Gerrior,2013,President,
,Rob,Mizgala,2013,Executive Officer,
,Wayne,Powell,2013,Vice President,
,Paul,Taylor,2013,Treasurer,
,Dave,St. Martin,2013,Secretary,
,vacant,vacant,2013,Baseball Operations Manager,
,Ted,Fauteux,2013,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Corey,Beaudoin,2014,Interim President,
,Mike,Filinski,2014,Past President,
,Wayne,Powell,2014,Vice President,
,Paul,Taylor,2014,Treasurer,
,Dave,St. Martin,2014,Secretary,
,Rob,Mizgala,2014,Baseball Operations Manager,
,Scott,Low,2014,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Vern,Kraynick,2015,President,
,Mike,Filiniski,2015,Past President,
,Wayne,Powell,2015,Vice President,
,Paul,Taylor,2015,Treasurer,
,Dave,St. Martin,2015,Secretary,
,Gary,Thomas,2015,Operations Manager,
,Rob,Mizgala,2015,Executive Officer,
,Phil,Beaudoin,2015,Commissioner,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Vern,Kraynick,2016,President,
,Mike,Filinski,2016,Past President,
,Wayne,Powell,2016,Vice President,
,Paul,Taylor,2016,Treasurer,
,Dave,St. Martin,2016,Secretary,
,Gary,Thomas,2016,Operations Manager,
,Brad,LaBelle,2016,Executive Officer,
,Phil,Beaudoin,2016,Commissioner,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,2017,President,
,Vern,Kraynick,2017,Past President,
,Mike,Filinski,2017,Executive Officer,
,Wayne,Powell,2017,Vice President,
,Paul,Taylor,2017,Treasurer,
,Dave,St. Martin,2017,Secretary,
,Brad,LaBelle,2017,Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Cory,Beaudoin,2018,President,
,Mike,Filinski,2018,Past President,
,Phil,Beaudoin,2018,Executive Officer,
,Wayne,Powell,2018,Vice President,
,Paul,Taylor,2018,Treasurer,
,Dave,St. Martin,2018,Secretary,
,Brad,LaBelle,2018,Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Cory,Beaudoin,2019,President,
,Wayne,Powell,2019,Vice President,
,Paul,Taylor,2019,Treasurer,
,Dave,St. Martin,2019,Secretary,
,Dave,Bush,2019,Baseball Operations Manager,
,Gary,Thomas,2019,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2021,President,
,Wayne,Powell,2021,Vice President,
,Paul,Taylor,2021,Treasurer,
,Dana,Bush,2021,Secretary,
,Dave,Bush,2021,Baseball Operations Manager,
,Carlos,Duchesne,2021,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2022,President,
,Wayne,Powell,2022,Vice President,
,Paul,Taylor,2022,Treasurer,
,Dana,Bush,2022,Secretary,
,Dave,Bush,2022,Baseball Operations Manager,
,Carlos,Duchesne,2022,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2023,President,
,Wayne,Powell,2023,Vice President,
,Paul,Taylor,2023,Treasurer,
,Jun,Kim,2023,Secretary,
,Dave,Bush,2023,Baseball Operations Manager,
,Carlos,Duchesne,2023,Business Operations Manager,
,Phil,Kraynick,2023,Executive Officer,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2024,President,
,Wayne,Powell,2024,Vice President,
,Paul,Taylor,2024,Treasurer,
,Jun,Kim,2024,Secretary,
,Dave,Malcomson-Morris,2024,Baseball Operations Manager,
,Aaron,Addison,2024,Business Operations Manager,
,Phil,Kraynick,2024,Executive Officer,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2025,President,
,Wayne,Powell,2025,Vice President,
,Paul,Taylor,2025,Treasurer,
,Jun,Kim,2025,Secretary,
,Jordan,Hearn,2025,Baseball Operations Manager,
,Aaron,Addison,2025,Business Operations Manager,
,Phil,Kraynick,2025,Executive Officer,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Dave,St. Martin,2026,President,
,Wayne,Powell,2026,Vice President,
,Paul,Taylor,2026,Treasurer,
,Jun,Kim,2026,Secretary,
,Jordan,Hearn,2026,Baseball Operations Manager,
,Aaron,Addison,2026,Business Operations Manager,
,Phil,Kraynick,2026,Executive Officer,
